Constituency name,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,,
South Devon,LD gain from Con,LD,Con,72261,49004,142,7127,15413,3066,22540,6363,1497,0,,
South Dorset,Lab gain from Con,Lab,Con,75924,49037,171,1048,14611,15659,8017,8168,2153,0,,
South Down,SF hold,SF,SDLP,76248,45243,228,9280,46,0,0,0,444,0,,
South East Cornwall,Lab gain from Con,Lab,Con,72654,49286,136,1911,13759,15670,8284,9311,1999,0,,
South Holland and The Deepings,Con hold,Con,RUK,78473,45930,133,6856,17462,9086,1945,10606,1800,0,,
South Leicestershire,Con hold,Con,Lab,78511,51359,183,5506,18264,12758,7621,10235,2481,0,,
South Norfolk,Lab gain from Con,Lab,Con,74006,49579,164,2826,14527,17353,5746,7583,3987,0,,
South Northamptonshire,Con hold,Con,Lab,78233,53697,187,3687,19191,15504,4989,8962,3040,0,,
South Ribble,Lab gain from Con,Lab,Con,73420,46720,170,6501,13339,19840,2972,8995,1574,0,,
South Shields,Lab hold,Lab,RUK,68366,36824,88,6653,4128,15122,1402,8469,5433,0,,
South Shropshire,Con hold,Con,LD,76677,51653,209,1624,17628,6939,16004,9171,1911,0,,
South Suffolk,Con hold,Con,Lab,74619,48801,183,3047,16082,13035,6424,9252,4008,0,,
South West Devon,Con hold,Con,Lab,77600,52242,119,2112,17916,15804,5551,9361,2925,0,,
South West Hertfordshire,Con hold,Con,LD,71737,48254,145,4456,16458,9637,12002,6790,2532,0,,
South West Norfolk,Lab gain from Con,Lab,Con,74724,44335,139,630,11217,11847,2618,9958,1838,0,,
South West Wiltshire,Con hold,Con,Lab,73071,46168,167,3243,15617,12374,7205,7840,2243,0,,
Southampton Itchen,Lab gain from Con,Lab,Con,68379,38053,124,6105,9677,15782,2684,6853,2793,0,,
Southampton Test,Lab hold,Lab,Con,65520,35805,160,9333,6612,15945,3252,5261,3594,0,,
Southend East and Rochford,Lab gain from Con,Lab,Con,70217,39656,145,4027,11368,15395,2269,7214,2716,0,,
Southend West and Leigh,Lab gain from Con,Lab,Con,75154,46968,163,1949,14790,16739,3174,8273,3262,0,,
Southgate and Wood Green,Lab hold,Lab,Con,77542,45671,256,15300,8037,23337,3925,3147,5607,0,,
Southport,Lab gain from Con,Lab,Con,73641,45059,127,5789,11463,17252,5868,7395,2159,0,,
Spelthorne,Con hold,Con,Lab,73782,46166,144,1590,14038,12448,8710,8284,2413,0,,
Spen Valley,Lab gain from Con,Lab,RUK,72642,41058,137,6188,9859,16076,1425,9888,2284,0,,
St Albans,LD hold,LD,Con,72739,51614,203,19834,9388,5189,29222,4336,3272,0,,
St Austell and Newquay,Lab gain from Con,Lab,Con,76076,46732,130,2470,13488,15958,4805,9212,2337,0,,
St Helens North,Lab hold,Lab,RUK,75483,40474,155,12169,4507,21284,1799,9115,3495,0,,
St Helens South and Whiston,Lab hold,Lab,RUK,71569,38035,85,11945,3057,18919,2199,6974,2642,0,,
St Ives,LD gain from Con,LD,Con,69978,48106,150,13786,11247,2788,25033,6492,1797,0,,
St Neots and Mid Cambridgeshire,LD gain from Con,LD,Con,78115,52882,138,4621,14896,6918,19517,5673,2663,0,,
Stafford,Lab gain from Con,Lab,Con,70608,46009,160,4595,13936,18531,1676,8612,2856,0,,
Staffordshire Moorlands,Con hold,Con,Lab,69892,43302,188,1175,15310,14135,1499,10065,2293,0,,
Stalybridge and Hyde,Lab hold,Lab,RUK,72265,37239,117,8539,6872,16320,1080,7781,2745,0,,
Stevenage,Lab gain from Con,Lab,Con,70976,42715,155,6618,11080,17698,3467,7667,2655,0,,
Stirling and Strathallan,Lab gain from SNP,Lab,SNP,76284,49782,242,1394,9469,16856,2530,3145,2320,15462,,
Stockport,Lab hold,Lab,RUK,76632,43683,185,15270,4967,21787,3724,6517,4865,0,,
Stockton North,Lab hold,Lab,RUK,70242,37401,125,7939,8028,17128,1133,9189,1923,0,,
Stockton West,Con hold,Con,Lab,71868,48638,114,2139,20372,18233,1203,6833,1477,0,,
Stoke-on-Trent Central,Lab gain from Con,Lab,RUK,73812,35289,137,6409,6221,14950,999,8541,1703,0,,
Stoke-on-Trent North,Lab gain from Con,Lab,Con,69854,36150,103,5082,9497,14579,911,8824,1236,0,,
Stoke-on-Trent South,Lab gain from Con,Lab,Con,70002,40942,120,627,13594,14221,1577,8851,1207,0,,
"Stone, Great Wyrley and Penkridge",Con hold,Con,Lab,71561,42770,727,5466,19880,14414,2952,0,2236,0,,
Stourbridge,Lab gain from Con,Lab,Con,68311,39878,113,3073,12265,15338,1607,7869,1732,0,,
Strangford,DUP hold,DUP,APNI,74525,38909,135,5131,146,0,0,0,703,0,,
Stratford and Bow,Lab hold,Lab,Green,80735,43435,287,11634,3114,19145,1926,2093,7511,0,,
Stratford-on-Avon,LD gain from Con,LD,Con,75714,52959,179,7122,16328,3753,23450,7753,1197,0,,
Streatham and Croydon North,Lab hold,Lab,Green,82829,44553,190,15603,5328,23232,5031,1994,7629,0,,
Stretford and Urmston,Lab hold,Lab,Con,75153,46002,168,16150,6492,22642,2216,5485,4398,0,,
Stroud,Lab gain from Con,Lab,Con,77905,55221,227,11388,14219,25607,2913,6329,5729,0,,
Suffolk Coastal,Lab gain from Con,Lab,Con,74522,49451,189,1070,14602,15672,6947,7850,4380,0,,
Sunderland Central,Lab hold,Lab,RUK,76145,39957,99,6073,5731,16852,3602,10779,2993,0,,
Surrey Heath,LD gain from Con,LD,Con,71934,47788,140,5640,15747,3148,21387,6252,1162,0,,
Sussex Weald,Con hold,Con,LD,72885,49175,190,6842,16758,8239,9916,8920,3762,0,,
Sutton and Cheam,LD gain from Con,LD,Con,72303,47606,139,3801,13775,8430,17576,5787,1721,0,,
Sutton Coldfield,Con hold,Con,Lab,74080,48333,172,2543,18502,15959,2587,8213,2419,0,,
Swansea West,Lab hold,Lab,RUK,74236,35657,130,8515,3536,14761,4367,6246,2305,0,,
Swindon North,Lab gain from Con,Lab,Con,73224,44165,124,4103,13827,17930,2086,7557,2366,0,,
Swindon South,Lab gain from Con,Lab,Con,72575,44794,147,9606,12070,21676,1843,6194,2539,0,,
Tamworth,Lab gain from Con,Lab,Con,75055,43788,116,1382,13956,15338,1451,11004,1579,0,,
Tatton,Con hold,Con,Lab,75978,51909,198,1136,19956,18820,4614,5948,2571,0,,
Taunton and Wellington,LD gain from Con,LD,Con,78680,50294,167,11939,12392,3552,24331,8053,1832,0,,
Telford,Lab gain from Con,Lab,RUK,73808,40730,148,8102,8728,18212,1560,10110,2120,0,,
Tewkesbury,LD gain from Con,LD,Con,73458,48539,150,6262,14468,4298,20730,6000,2873,0,,
The Wrekin,Con hold,Con,Lab,78942,50020,163,883,16320,15437,4757,9920,3028,0,,
Thirsk and Malton,Con hold,Con,Lab,78468,49797,169,7550,19544,11994,5379,8963,2986,0,,
Thornbury and Yate,LD gain from Con,LD,Con,78192,53367,148,3014,17801,5057,20815,7529,2165,0,,
Thurrock,Lab gain from Con,Lab,RUK,73392,37558,97,6474,8009,16050,1157,9576,1632,0,,
Tipton and Wednesbury,Lab gain from Con,Lab,Con,74098,31850,139,3385,8370,11755,592,8019,1509,0,,
Tiverton and Minehead,LD gain from Con,LD,Con,72087,47491,197,3507,14819,4325,18326,7787,2234,0,,
Tonbridge,Con hold,Con,Lab,72799,50328,150,11166,20517,9351,4234,7548,7596,0,,
Tooting,Lab hold,Lab,Con,76168,52943,255,19487,9722,29209,4438,2546,5672,0,,
Torbay,LD gain from Con,LD,Con,76185,46115,110,5349,13588,3276,18937,8660,1420,0,,
Torfaen,Lab hold,Lab,RUK,71738,35705,117,7322,5737,15176,1644,7854,1705,0,,
Torridge and Tavistock,Con hold,Con,LD,74727,50820,170,3950,16049,10765,12099,9152,2350,0,,
Tottenham,Lab hold,Lab,Green,75906,40148,250,15434,2320,23066,1928,1602,7632,0,,
Truro and Falmouth,Lab gain from Con,Lab,Con,72982,50264,163,8151,12632,20783,6552,6163,3470,0,,
Tunbridge Wells,LD gain from Con,LD,Con,78738,54250,191,8687,14974,6178,23661,6484,2344,0,,
Twickenham,LD hold,LD,Con,74980,53635,226,21457,8728,6693,30185,4092,3590,0,,
Tynemouth,Lab hold,Lab,Con,73194,48418,136,15455,9036,24491,2709,7392,3592,0,,
Upper Bann,DUP hold,DUP,SF,81249,47358,241,7406,0,0,0,0,0,0,,
Uxbridge and South Ruislip,Lab gain from Con,Lab,Con,74745,45914,175,587,16012,16599,1752,6610,4354,0,,
Vale of Glamorgan,Lab gain from Con,Lab,Con,74465,45826,139,4216,13524,17740,1612,6973,1881,0,,
Vauxhall and Camberwell Green,Lab hold,Lab,Green,77527,37536,261,15112,2809,21528,4549,2033,6416,0,,
Wakefield and Rothwell,Lab gain from Con,Lab,RUK,75067,40656,112,9346,7322,17773,3249,8427,2389,0,,
Wallasey,Lab hold,Lab,RUK,74082,42746,168,17996,4987,24674,1843,6678,3905,0,,
Walsall and Bloxwich,Lab gain from Con,Lab,Ind,74951,37191,141,4914,6679,12514,817,7293,2288,0,,
Walthamstow,Lab hold,Lab,Green,74474,45668,255,17996,2353,27172,1736,1836,9176,0,,
Warrington North,Lab hold,Lab,RUK,70601,40041,125,9190,6486,18730,2737,9540,1889,0,,
Warrington South,Lab hold,Lab,Con,78394,49672,192,11340,11861,23201,3829,7913,2313,0,,
Warwick and Leamington,Lab hold,Lab,Con,76294,49198,245,12412,11563,23975,3881,5154,4471,0,,
Washington and Gateshead South,Lab hold,Lab,RUK,70972,37021,100,6913,4654,17682,1602,10769,1687,0,,
Watford,Lab gain from Con,Lab,Con,73100,44455,192,4723,10985,15708,7577,4930,2428,0,,
Waveney Valley,Green gain from Con,Green,Con,73056,49072,131,5594,14873,4621,1214,7779,20467,0,,
Weald of Kent,Con hold,Con,Lab,75987,50712,257,8422,20202,11780,3975,10208,4547,0,,
Wellingborough and Rushden,Lab gain from Con,Lab,Con,77542,43985,145,5486,12248,17734,1570,9456,2704,0,,
Wells and Mendip Hills,LD gain from Con,LD,Con,73538,50368,149,11121,12501,3527,23622,6611,2068,0,,
Welwyn Hatfield,Lab gain from Con,Lab,Con,75259,48455,192,3799,16078,19877,3117,6397,2986,0,,
West Aberdeenshire and Kincardine,Con hold,Con,SNP,72994,48958,161,3441,17428,6397,6342,3497,1032,13987,,
West Bromwich,Lab gain from Con,Lab,Con,74025,36481,136,9554,7318,16872,1314,7101,2036,0,,
West Dorset,LD gain from Con,LD,Con,75998,52605,618,7789,19210,3086,26999,0,2288,0,,
West Dunbartonshire,Lab gain from SNP,Lab,SNP,69074,39584,123,6010,1474,19312,839,2770,1496,13302,,
West Ham and Beckton,Lab hold,Lab,NIP,78964,36348,149,9254,3781,16434,1606,2800,3897,0,,
West Lancashire,Lab hold,Lab,Con,74081,44200,224,13625,8680,22305,2043,7909,3263,0,,
West Suffolk,Con hold,Con,Lab,77145,46161,173,3247,15814,12567,4284,9623,2910,0,,
West Tyrone,SF hold,SF,DUP,74269,43695,262,15917,91,0,0,0,0,0,,
West Worcestershire,Con hold,Con,LD,79246,54687,191,6547,19783,8335,13236,7902,5068,0,,
Westmorland and Lonsdale,LD gain from Con,LD,Con,72029,49533,115,21472,9589,2306,31061,4842,1486,0,,
Weston-super-Mare,Lab gain from Con,Lab,Con,71396,42390,143,4409,11901,16310,3756,7735,2688,0,,
Wetherby and Easingwold,Con hold,Con,Lab,74314,52259,171,4846,20597,15751,3351,7288,4529,0,,
Whitehaven and Workington,Lab gain from Con,Lab,RUK,73198,41840,159,13286,8455,22173,1118,8887,1207,0,,
Widnes and Halewood,Lab hold,Lab,RUK,70161,38116,95,16425,3507,23484,1593,7059,2058,0,,
Wigan,Lab hold,Lab,RUK,77538,40899,124,9549,4310,19401,1692,9852,1629,0,,
Wimbledon,LD gain from Con,LD,Con,76334,54985,171,12610,12180,11733,24790,3221,2442,0,,
Winchester,LD gain from Con,LD,Con,78289,57076,185,13821,16118,3023,29939,4797,2740,0,,
Windsor,Con hold,Con,Lab,73334,45246,173,6457,16483,10026,9539,4660,2288,0,,
Wirral West,Lab hold,Lab,Con,72838,49951,187,9998,13158,23156,3055,6422,4160,0,,
Witham,Con hold,Con,Lab,78991,50603,171,5145,18827,13682,3439,9870,3539,0,,
Witney,LD gain from Con,LD,Con,75448,50584,158,4339,16493,4773,20832,6307,1661,0,,
Woking,LD gain from Con,LD,Con,72969,48145,171,11246,12773,4444,24019,4888,1853,0,,
Wokingham,LD gain from Con,LD,Con,75082,53999,199,8345,17398,3631,25743,5274,1953,0,,
Wolverhampton North East,Lab gain from Con,Lab,Con,70715,33289,107,5422,8860,14282,1002,7721,1424,0,,
Wolverhampton South East,Lab hold,Lab,RUK,77473,33382,129,9188,5654,16800,758,7612,1643,0,,
Wolverhampton West,Lab gain from Con,Lab,Con,77851,43657,153,7868,11463,19331,1376,6078,2550,0,,
Worcester,Lab gain from Con,Lab,Con,74931,46036,179,7116,11506,18622,3986,6723,4789,0,,
Worsley and Eccles,Lab hold,Lab,RUK,78643,42543,164,11091,6791,20277,1851,9186,3283,0,,
Worthing West,Lab gain from Con,Lab,Con,77039,50997,178,3949,16570,20519,2708,7562,3274,0,,
Wrexham,Lab gain from Con,Lab,Con,70269,40373,128,5948,9888,15836,1777,6915,1339,0,,
Wycombe,Lab gain from Con,Lab,Con,73415,44637,174,4591,11444,16035,4236,4769,2193,0,,
Wyre Forest,Con hold,Con,Lab,77329,45158,137,812,14489,13677,2809,9682,2443,0,,
Wythenshawe and Sale East,Lab hold,Lab,RUK,77767,39132,142,14610,5392,20596,1985,5986,4133,0,,
Yeovil,LD gain from Con,LD,Con,79918,48952,109,12268,11497,3002,23765,7677,2403,0,,
Ynys Môn,PC gain from Con,PC,Con,53141,32628,79,637,9953,7619,439,3223,604,0,,
York Central,Lab hold,Lab,Con,79557,43323,228,19154,5383,24537,3051,4721,5185,0,,
York Outer,Lab gain from Con,Lab,Con,76228,51106,184,9391,13770,23161,5496,5912,2212,0,,
