Constituency name,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,,
Broxbourne,Con hold,Con,Lab,75210,42952,142,2858,15810,12952,2688,8782,2461,0,,
Broxtowe,Lab gain from Con,Lab,Con,70440,47838,165,8403,11158,19561,3807,8402,3488,0,,
Buckingham and Bletchley,Lab gain from Con,Lab,Con,74832,47641,206,2421,15181,17602,4300,7468,2590,0,,
Burnley,Lab gain from Con,Lab,LD,74954,39719,130,3420,8058,12598,9178,7755,1518,0,,
Burton and Uttoxeter,Lab gain from Con,Lab,Con,77994,45627,161,2266,13956,16222,1663,9611,2119,0,,
Bury North,Lab gain from Con,Lab,Con,77686,45520,174,6944,12681,19625,1317,7385,1747,0,,
Bury South,Lab gain from Con,Lab,Con,75326,42214,170,9361,9886,19247,1796,6865,2715,0,,
Bury St Edmunds and Stowmarket,Lab gain from Con,Lab,Con,78479,50893,193,1452,15293,16745,3154,8595,5761,0,,
Caerfyrddin,PC gain from Con,PC,Lab,74005,45604,187,4535,8825,10985,1461,6944,1371,0,,
Caerphilly,Lab hold,Lab,PC,72648,38234,156,6419,4385,14538,1788,7754,1650,0,,
"Caithness, Sutherland and Easter Ross",LD gain from SNP,LD,SNP,74627,46048,122,10489,1860,3409,22736,3360,1641,12247,,
Calder Valley,Lab gain from Con,Lab,Con,77364,49608,188,8991,13055,22046,2587,7644,3701,0,,
Camborne and Redruth,Lab gain from Con,Lab,Con,74342,47785,196,7806,11554,19360,4113,8952,2840,0,,
Cambridge,Lab hold,Lab,LD,70321,42100,372,11078,5073,19614,8536,0,6842,0,,
Cannock Chase,Lab gain from Con,Lab,Con,76974,42953,119,3125,12546,15671,1029,11570,2137,0,,
Canterbury,Lab hold,Lab,Con,71155,47231,173,8653,10878,19531,3812,6805,5920,0,,
Cardiff East,Lab hold,Lab,LD,72876,39123,172,9097,3913,15833,6736,4980,3916,0,,
Cardiff North,Lab hold,Lab,Con,71460,47473,232,11207,9642,20849,3168,5985,3160,0,,
